id,name,artists,year,popularity,key,tempo,acousticness,duration_ms,danceability,energy,explicit,instrumentalness,liveness,loudness,mode,speechiness,valence
6UGYIgkzeLp4BQy30B9svV,Anhelo,"[""Adolescent's Orquesta""]",2012,58,8,91.148,0.5,248947,0.74,0.525,0,4.13E-06,0.106,-13.082,1,0.0458,0.804
5SIoLK4aqXc2UzNrhVHwtp,Virgen,"[""Adolescent's Orquesta""]",2012,65,8,90.963,0.725,271727,0.66,0.748,0,0.00065,0.127,-4.855,1,0.044,0.75
2wCRJwiL1WSrW0Dwfco7Nj,Know Who You Are,"[""Auli'i Cravalho"", 'Vai Mahina', ""Olivia Foa'i"", ""Opetaia Foa'i"", 'Matthew Ineleo']",2016,63,11,,0.941,72627,0.16,0.145,0,0.0919,0.103,-20.495,0,0.0359,0.0946
6mb6lVLNrcUgLnEN8QnDJd,How Far I'll Go,"[""Auli'i Cravalho""]",2016,74,1,83.72,0.649,163387,0.571,0.307,0,0,0.178,-10.958,0,0.0499,0.108
32pqqCrnIC5O5iE9c218PJ,How Far I'll Go - Reprise,"[""Auli'i Cravalho""]",2016,63,4,83.197,0.827,87347,0.427,0.449,0,0,0.134,-8.37,1,0.0337,0.231
723paR6LrVISFCXFPf5z57,Above The Clouds Of Pompeii,"[""Bear's Den""]",2014,50,4,100.846,0.851,279453,0.59,0.379,0,0.000979,0.0799,-12.452,1,0.0329,0.138
2v162mDpVPU2tUhKZtgjpV,Sophie,"[""Bear's Den""]",2013,56,11,143.939,0.799,305001,0.586,0.276,0,0.00712,0.192,-13.294,0,0.0323,0.342
64zhFuKM4TwZ0dcKogeKAN,Rêvasseur,"[""Charmaine D'Avis""]",2020,66,2,64.747,0.979,203500,0.176,0.0244,0,0.864,0.0881,-32.609,1,0.0391,0.0932
3wJmcmAh2YAfDSKQR8o1XS,In Your Arms,"[""Chef'Special""]",2014,60,5,92.964,0.646,215269,0.669,0.406,0,1.27E-05,0.112,-12.186,1,0.0501,0.362
0g5zAwZa44obmZybQrYGbu,Él Nos Ama,"[""Christine D'Clario""]",2012,56,7,160.081,0.00788,258640,0.428,0.582,0,3.22E-05,0.362,-5.045,1,0.028,0.113
7BY5JRklkQUu4e0tlZDBy7,Como Dijiste,"[""Christine D'Clario""]",2012,61,6,146.877,0.0157,299600,0.499,0.655,0,0,0.114,-6.576,1,0.0343,0.158
7x6tBBMlzv6OkHfYTYu3FO,Gloria en Lo Alto,"[""Christine D'Clario""]",2012,55,3,99.984,0.0446,300187,0.58,0.587,0,0,0.136,-5.628,1,0.0272,0.26
2RcanAJpudPNDkyIe9DzKS,Really Love,"[""D'Angelo""]",2014,57,4,78.516,0.724,344347,0.638,0.395,0,0.569,0.0761,-11.299,0,0.1,0.316
53l4LGUeZKCDZI1u25kQDN,Sugah Daddy,"[""D'Angelo""]",2014,55,1,92.603,0.0397,302840,0.786,0.547,0,0.272,0.0378,-11.416,1,0.262,0.683
7gQzzsppcAezKh0HFjrG3q,The Charade,"[""D'Angelo""]",2014,58,7,120.08,0.254,200840,0.671,0.733,0,0.218,0.207,-7.88,1,0.0653,0.462
3kBofOTKMUZ62a311eUwvx,Warm (feat. Mia),"[""Dre'es"", 'Mia']",2017,64,8,94.023,0.888,255466,0.662,0.297,1,0.108,0.119,-14.525,1,0.0301,0.434
7eTDwpm5XKKssoMhMbo67y,Home,"[""Dustin O'Halloran""]",2013,56,9,137.139,0.946,160812,0.327,0.0733,0,0.913,0.339,,0,0.04,0.0384
3Lj5SBeJizCKbxkEvSJYb3,We Move Lightly,"[""Dustin O'Halloran""]",2011,41,5,150.234,0.97,193813,0.17,0.138,0,0.826,0.0712,-17.715,0,0.0425,0.0703
0FkLMOUTkSTPSAYkIXQ579,L'amour Toujours (Small Mix),"[""Gigi D'Agostino""]",2014,71,7,139.053,0.0775,242053,0.637,0.878,0,0.0227,0.364,-4.449,1,0.0302,0.742
4cczsBhbMmU2eCnqHLLcSZ,Gee,"[""Girls' Generation""]",2010,45,1,99.988,0.281,201160,0.756,0.93,0,0,0.11,-1.082,0,0.0274,0.737
2WkPfNd237yc0l5KewCDpp,I GOT A BOY,"[""Girls' Generation""]",2013,56,4,97.911,0.0342,271326,0.502,0.863,0,0,0.538,-1.273,0,0.272,0.527
3JaMGQXJmtbAhvgl0nBPPN,Mr.Mr.,"[""Girls' Generation""]",2014,58,4,113.058,0.114,235434,0.701,0.964,0,9.34E-06,0.153,-2.037,0,0.127,0.484
0U9jNoTJeTxXToakhsb7pV,Run Devil Run,"[""Girls' Generation""]",2010,52,11,64.927,0.0596,201920,0.687,0.888,0,2.14E-05,0.181,-2.725,0,0.146,0.791
6o6XlivwGtP1JgQZ8IAwty,The Boys,"[""Girls' Generation""]",2011,49,1,114.983,0.18,226893,0.885,0.94,0,0,0.176,-0.571,0,0.0732,0.927
5wv2XK6ms7KBBVDD1cOwlx,Cool with You,"[""Her's""]",2017,66,0,106.986,0.0124,375656,0.534,0.62,0,0.000736,0.296,-6.775,1,0.0504,0.547
1zFbBrZmJr1Z49HYe84dBg,Harvey,"[""Her's""]",2018,61,9,141.941,0.0735,211165,0.588,0.855,0,0.815,0.128,-6.153,1,0.0372,0.717
